Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,5274,,2306,,,0
HS,2015,201506,Jun-15,4,0,2,Exports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,2278477,,1590444,,,0
HS,2015,201506,Jun-15,4,0,2,Exports,800,Uganda,,108,Burundi,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,36200,,30000,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,156,China,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,100,,23,,,0
HS,2015,201506,Jun-15,4,0,2,Exports,800,Uganda,,180,Dem.Rep. of the Congo,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,6030,,9366,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,208,Denmark,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,840,,636,,,0
HS,2015,201506,Jun-15,4,0,2,Exports,800,Uganda,,404,Kenya,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,2005419,,1329559,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,646,Rwanda,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,3800,,706,,,0
HS,2015,201506,Jun-15,4,0,2,Exports,800,Uganda,,646,Rwanda,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,71400,,58566,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,710,South Africa,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,483,,246,,,0
HS,2015,201506,Jun-15,4,0,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,144128,,145203,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,784,United Arab Emirates,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,51,,695,,,0
HS,2015,201506,Jun-15,4,0,2,Exports,800,Uganda,,834,United Rep. of Tanzania,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,15300,,17750,,,0
HS,2015,201505,May-15,4,0,1,Imports,800,Uganda,,0,World,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,3065,,14267,,,0
HS,2015,201505,May-15,4,0,1,Imports,800,Uganda,,732,Western Sahara,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,259,,532,,,0
HS,2015,201505,May-15,4,0,1,Imports,800,Uganda,,757,Switzerland,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,103,,1720,,,0
HS,2015,201505,May-15,4,0,1,Imports,800,Uganda,,784,United Arab Emirates,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,1112,,6885,,,0
